,Name,origin,tcrm2,lambda,gamma,Improve
0,ArticularyWordRecognition,0.983,0.983,0.500,0.500,0.000
1,AtrialFibrillation,0.200,0.267,0.500,0.500,0.067
2,BasicMotions,1.000,1.000,0.500,0.500,0.000
3,CharacterTrajectories,0.997,0.998,0.000,0.000,0.001
4,Cricket,0.986,0.986,0.500,0.500,0.000
5,DuckDuckGeese,0.580,0.620,0.500,0.000,0.040
6,EigenWorms,0.901,0.939,0.250,0.500,0.038
7,Epilepsy,0.971,0.978,0.500,0.500,0.007
8,EthanolConcentration,0.251,0.281,0.500,0.000,0.030
9,ERing,0.907,0.948,0.750,0.000,0.041
10,FaceDetection,0.542,0.546,0.500,0.500,0.004
11,FingerMovements,0.510,0.520,0.250,0.500,0.010
12,HandMovementDirection,0.284,0.392,0.500,0.500,0.108
13,Handwriting,0.601,0.604,0.000,1.000,0.002
14,Heartbeat,0.717,0.732,0.750,0.500,0.015
15,InsectWingbeat,0.661,0.666,0.750,1.000,0.005
16,JapaneseVowels,0.992,0.992,0.000,1.000,0.000
17,Libras,0.978,0.978,0.000,1.000,0.000
18,LSST,0.486,0.539,0.000,1.000,0.053
19,MotorImagery,0.530,0.620,0.500,1.000,0.090
20,NATOPS,0.950,0.956,0.000,0.500,0.006
21,PenDigits,0.986,0.985,0.000,0.000,-0.001
22,PEMS-SF,0.792,0.821,0.500,0.500,0.029
23,PhonemeSpectra,0.307,0.306,0.000,0.500,-0.001
24,RacketSports,0.895,0.908,0.250,1.000,0.013
25,SelfRegulationSCP1,0.887,0.901,0.250,0.000,0.014
26,SelfRegulationSCP2,0.450,0.472,0.000,0.000,0.022
27,SpokenArabicDigits,0.995,0.995,0.500,0.500,0.000
28,StandWalkJump,0.333,0.467,0.500,0.500,0.133
29,UWaveGestureLibrary,0.887,0.887,0.000,1.000,0.000
