,Name,InceptionTime,IT-MRM2,lambda,gamma,Improve
0,Adiac,0.798,0.801,0.500,0.500,0.003
1,ArrowHead,0.829,0.817,0.500,0.500,-0.011
2,Beef,0.767,0.800,0.000,0.500,0.033
3,BeetleFly,0.850,0.850,0.500,0.500,0.000
4,BirdChicken,0.900,0.900,0.500,0.500,0.000
5,Car,0.933,0.933,0.000,1.000,0.000
6,CBF,0.990,0.998,0.500,0.500,0.008
7,ChlorineConcentration,0.768,0.771,0.000,0.500,0.003
8,CinCECGTorso,0.812,0.827,0.000,0.000,0.015
9,Coffee,1.000,1.000,0.500,0.500,0.000
10,Computers,0.844,0.852,0.500,0.500,0.008
11,CricketX,0.774,0.787,0.000,1.000,0.013
12,CricketY,0.774,0.774,0.750,1.000,0.000
13,CricketZ,0.762,0.790,0.000,1.000,0.028
14,DiatomSizeReduction,0.938,0.944,0.500,0.500,0.007
15,DistalPhalanxOutlineAgeGroup,0.734,0.748,0.250,1.000,0.014
16,DistalPhalanxOutlineCorrect,0.783,0.779,0.500,0.500,-0.004
17,DistalPhalanxTW,0.676,0.712,0.000,0.500,0.036
18,Earthquakes,0.748,0.748,0.000,1.000,0.000
19,ECG200,0.850,0.860,0.000,0.500,0.010
20,ECG5000,0.939,0.941,0.000,0.000,0.002
21,ECGFiveDays,0.979,1.000,0.500,0.500,0.021
22,ElectricDevices,0.706,0.713,0.000,1.000,0.007
23,FaceAll,0.869,0.986,0.500,0.500,0.117
24,FaceFour,0.909,0.955,0.500,0.500,0.045
25,FacesUCR,0.921,0.936,0.500,0.500,0.014
26,FiftyWords,0.648,0.635,0.500,0.500,-0.013
27,Fish,0.960,0.966,0.500,0.500,0.006
28,FordA,0.923,0.924,0.250,1.000,0.001
29,FordB,0.796,0.809,0.500,0.500,0.012
30,GunPoint,1.000,1.000,0.500,0.500,0.000
31,Ham,0.724,0.743,0.750,1.000,0.019
32,HandOutlines,0.824,0.873,0.500,0.500,0.049
33,Haptics,0.519,0.490,0.500,0.500,-0.029
34,Herring,0.688,0.719,0.000,1.000,0.031
35,InlineSkate,0.425,0.453,0.000,1.000,0.028
36,InsectWingbeatSound,0.390,0.401,0.250,1.000,0.010
37,ItalyPowerDemand,0.948,0.964,0.500,0.500,0.017
38,LargeKitchenAppliances,0.885,0.907,0.000,1.000,0.021
39,Lightning2,0.721,0.721,0.000,1.000,0.000
40,Lightning7,0.740,0.753,0.000,0.500,0.014
41,Mallat,0.968,0.967,0.500,0.500,-0.001
42,Meat,0.900,0.900,0.500,0.500,0.000
43,MedicalImages,0.763,0.771,0.500,0.500,0.008
44,MiddlePhalanxOutlineAgeGroup,0.545,0.610,0.750,1.000,0.065
45,MiddlePhalanxOutlineCorrect,0.825,0.821,0.500,0.500,-0.003
46,MiddlePhalanxTW,0.519,0.539,0.500,0.500,0.019
47,MoteStrain,0.903,0.914,0.250,0.000,0.010
48,NonInvasiveFetalECGThorax1,0.951,0.950,0.500,0.500,-0.001
49,NonInvasiveFetalECGThorax2,0.943,0.943,0.500,0.500,0.000
50,OliveOil,0.700,0.700,0.500,0.500,0.000
51,OSULeaf,0.979,0.975,0.750,0.000,-0.004
52,PhalangesOutlinesCorrect,0.833,0.829,0.500,0.500,-0.005
53,Phoneme,0.352,0.354,0.500,0.500,0.002
54,Plane,1.000,1.000,0.500,0.500,0.000
55,ProximalPhalanxOutlineAgeGroup,0.863,0.849,0.500,0.500,-0.015
56,ProximalPhalanxOutlineCorrect,0.911,0.918,0.500,0.500,0.007
57,ProximalPhalanxTW,0.800,0.820,0.250,0.500,0.020
58,RefrigerationDevices,0.504,0.533,0.250,1.000,0.029
59,ScreenType,0.659,0.675,0.250,0.000,0.016
60,ShapeletSim,0.800,1.000,0.500,0.500,0.200
61,ShapesAll,0.859,0.857,0.500,0.500,-0.002
62,SmallKitchenAppliances,0.776,0.792,0.500,0.500,0.016
63,SonyAIBORobotSurface1,0.864,0.993,0.500,0.500,0.130
64,SonyAIBORobotSurface2,0.975,0.997,0.500,0.500,0.022
65,StarLightCurves,0.966,0.969,0.500,0.500,0.004
66,Strawberry,0.970,0.968,0.500,0.500,-0.003
67,SwedishLeaf,0.971,0.976,0.250,0.500,0.005
68,Symbols,0.951,0.988,0.500,0.500,0.037
69,SyntheticControl,0.983,0.983,0.500,0.500,0.000
70,ToeSegmentation1,0.978,0.987,0.000,0.500,0.009
71,ToeSegmentation2,0.892,0.923,0.500,0.500,0.031
72,Trace,1.000,1.000,0.500,0.500,0.000
73,TwoLeadECG,1.000,1.000,0.500,0.500,0.000
74,TwoPatterns,0.867,0.872,0.500,0.500,0.005
75,UWaveGestureLibraryAll,0.823,0.819,0.500,0.500,-0.004
76,UWaveGestureLibraryX,0.769,0.766,0.500,0.500,-0.003
77,UWaveGestureLibraryY,0.666,0.662,0.500,0.500,-0.004
78,UWaveGestureLibraryZ,0.736,0.735,0.500,0.500,-0.001
79,Wafer,0.996,0.996,0.000,1.000,0.000
80,Wine,0.796,0.815,0.500,0.500,0.019
81,WordSynonyms,0.525,0.517,0.500,0.500,-0.008
82,Worms,0.805,0.792,0.250,0.500,-0.013
83,WormsTwoClass,0.779,0.792,0.500,0.500,0.013
84,Yoga,0.847,0.843,0.500,0.500,-0.004
