,Name,InceptionTime,IT-MRM2,lambda,gamma,Improve
0,Adiac,0.844,0.857,0.5,0.5,0.013
1,ArrowHead,0.874,0.914,0.5,0.5,0.04
2,Beef,0.7,0.8,0.5,0.5,0.1
3,BeetleFly,0.7,0.85,0.5,0.5,0.15
4,BirdChicken,1,1,0.75,1,0
5,Car,0.883,0.917,0,0.5,0.033
6,CBF,0.999,1,0.5,0.5,0.001
7,ChlorineConcentration,0.83,0.831,0,1,0.001
8,CinCECGTorso,0.842,0.847,0,0.5,0.005
9,Coffee,1,1,0.5,0.5,0
10,Computers,0.804,0.808,0.5,0.5,0.004
11,CricketX,0.851,0.859,0.75,0.5,0.008
12,CricketY,0.81,0.813,0.5,0.5,0.003
13,CricketZ,0.846,0.849,0.5,0.5,0.003
14,DiatomSizeReduction,0.928,0.984,0.5,0.5,0.056
15,DistalPhalanxOutlineAgeGroup,0.77,0.755,0,1,-0.014
16,DistalPhalanxOutlineCorrect,0.754,0.754,0.25,0.5,0
17,DistalPhalanxTW,0.655,0.705,0,0.5,0.05
18,Earthquakes,0.741,0.755,0,1,0.014
19,ECG200,0.94,0.95,0.25,0.5,0.01
20,ECG5000,0.944,0.941,0.5,0,-0.002
21,ECGFiveDays,0.999,1,0.5,0.5,0.001
22,ElectricDevices,0.71,0.711,0,1,0.001
23,FaceAll,0.799,0.796,0,1,-0.002
24,FaceFour,0.955,0.955,0.5,0.5,0
25,FacesUCR,0.944,0.982,0.5,1,0.033
26,FiftyWords,0.789,0.804,0.5,0.5,0.015
27,Fish,1,1,0,1,0
28,FordA,0.955,0.961,0.5,0.5,0.007
29,FordB,0.843,0.853,0.5,0.5,0.01
30,GunPoint,0.993,0.993,0.5,0.5,0
31,Ham,0.695,0.714,0.5,0.5,0.019
32,HandOutlines,0.949,0.957,0.5,0.5,0.008
33,Haptics,0.545,0.571,0.5,0.5,0.026
34,Herring,0.766,0.734,0.5,0.5,-0.031
35,InlineSkate,0.452,0.453,0.25,0.5,0
36,InsectWingbeatSound,0.625,0.625,0.25,1,0
37,ItalyPowerDemand,0.959,0.964,0.5,0.5,0.005
38,LargeKitchenAppliances,0.883,0.904,0.5,0.5,0.021
39,Lightning2,0.754,0.803,0,0.5,0.049
40,Lightning7,0.822,0.877,0,1,0.055
41,Mallat,0.947,0.982,0.5,0.5,0.035
42,Meat,0.917,0.933,0.75,1,0.017
43,MedicalImages,0.772,0.775,0.5,0.5,0.003
44,MiddlePhalanxOutlineAgeGroup,0.461,0.506,0.5,0.5,0.045
45,MiddlePhalanxOutlineCorrect,0.811,0.821,0,0.5,0.01
46,MiddlePhalanxTW,0.5,0.506,0,0.5,0.006
47,MoteStrain,0.896,0.899,0.25,0.5,0.003
48,NonInvasiveFetalECGThorax1,0.954,0.957,0.5,0.5,0.003
49,NonInvasiveFetalECGThorax2,0.959,0.961,0.5,0.5,0.002
50,OliveOil,0.733,0.767,0.75,1,0.033
51,OSULeaf,0.955,0.967,0.5,0.5,0.012
52,PhalangesOutlinesCorrect,0.816,0.819,0.75,1,0.003
53,Phoneme,0.344,0.342,0,1,-0.002
54,Plane,1,1,0.5,0.5,0
55,ProximalPhalanxOutlineAgeGroup,0.82,0.834,0.75,0,0.015
56,ProximalPhalanxOutlineCorrect,0.907,0.914,0,0.5,0.007
57,ProximalPhalanxTW,0.795,0.805,0,1,0.01
58,RefrigerationDevices,0.549,0.555,0.75,1,0.005
59,ScreenType,0.565,0.576,0.5,0.5,0.011
60,ShapeletSim,0.711,0.844,0.75,0.5,0.156
61,ShapesAll,0.92,0.917,0,0.5,-0.003
62,SmallKitchenAppliances,0.757,0.781,0.5,0.5,0.024
63,SonyAIBORobotSurface1,0.817,0.817,0,0.5,0
64,SonyAIBORobotSurface2,0.952,0.973,0.5,0.5,0.021
65,StarLightCurves,0.977,0.978,0.25,0,0
66,Strawberry,0.981,0.986,0.75,0,0.005
67,SwedishLeaf,0.949,0.965,0.5,0.5,0.016
68,Symbols,0.967,0.985,0.5,0.5,0.018
69,SyntheticControl,0.993,0.993,0.5,0.5,0
70,ToeSegmentation1,0.969,0.969,0,1,0
71,ToeSegmentation2,0.9,0.962,0.5,0.5,0.062
72,Trace,1,1,0.5,0.5,0
73,TwoLeadECG,0.994,0.999,0.5,0.5,0.005
74,TwoPatterns,1,1,0.5,0.5,0
75,UWaveGestureLibraryAll,0.939,0.949,0.5,0.5,0.01
76,UWaveGestureLibraryX,0.815,0.815,0.5,0.5,0
77,UWaveGestureLibraryY,0.761,0.769,0.5,0.5,0.007
78,UWaveGestureLibraryZ,0.765,0.784,0.5,0.5,0.018
79,Wafer,0.999,0.999,0,1,0
80,Wine,0.63,0.648,0.75,1,0.019
81,WordSynonyms,0.727,0.729,0,0.5,0.002
82,Worms,0.753,0.792,0.5,0.5,0.039
83,WormsTwoClass,0.766,0.779,0.5,0.5,0.013
84,Yoga,0.895,0.908,0.5,0.5,0.013
